order_id,gender_category,product_line,product_name,size,units_sold,mrp,discount_applied,revenue,order_date,sales_channel,region,profit,kmeans_cluster,hierarchical_cluster
2001,Women,Soccer,Tiempo Legend,M,3.0,4957.93,,0.0,2024-07-09,Retail,Hyd,-112.53,1,2
2002,Women,Soccer,Premier III,M,4.0,,,0.0,,Retail,Mumbai,3337.34,4,3
2005,Women,Training,Flex Trainer,M,1.0,7363.96,,0.0,,Retail,Delhi,1415.98,0,1
2007,Kids,Training,SuperRep Go,M,1.0,,0.32,0.0,,Retail,Bangalore,2928.36,0,1
2008,Women,Soccer,Premier III,11,-1.0,,,0.0,11-10-2024,Online,Hyderabad,-731.18,2,4
2009,Men,Soccer,Mercurial Superfly,M,4.0,,,0.0,,Online,Pune,3929.61,4,3
2010,Kids,Lifestyle,Waffle One,L,1.0,7949.83,,0.0,2025/01/16,Online,Pune,1965.56,0,1
2011,Women,Training,Flex Trainer,L,-1.0,9586.08,,0.0,,Retail,Hyd,1667.08,0,5
2018,Kids,Lifestyle,Blazer Mid,,-1.0,,0.86,0.0,13-11-2024,Online,Delhi,2109.48,0,5
2016,Women,Basketball,Air Jordan,M,1.0,9871.75,0.3,6910.22,,Retail,hyderbad,2452.69,5,1
2017,Women,Basketball,Air Jordan,9,4.0,,,0.0,17-03-2025,Retail,Delhi,1946.24,4,3
2018,Men,Training,Metcon 7,XL,0.0,,1.17,0.0,,Online,bengaluru,-966.89,2,4
2019,Kids,Running,Air Zoom,6,0.0,3424.06,0.32,0.0,2025/01/17,Online,Hyderabad,1915.24,0,5
2020,Kids,Soccer,Tiempo Legend,L,-1.0,,0.67,0.0,28-03-2025,Retail,Mumbai,439.96,2,4
2021,Men,Running,Free RN,L,-1.0,7086.7,0.66,-2409.48,2024/11/19,Retail,Hyd,-1120.49,2,4
2024,Kids,Training,SuperRep Go,XL,0.0,,0.5,0.0,28-12-2024,Retail,Bangalore,1842.35,0,5
2025,Women,Basketball,Kyrie Flytrap,M,3.0,9820.5,,0.0,,Retail,Mumbai,1900.15,4,3
2026,Kids,Lifestyle,Blazer Mid,XL,1.0,,0.16,0.0,2024-08-10,Retail,Kolkata,2301.64,0,1
2029,Men,Training,ZoomX Invincible,12,0.0,,,0.0,2023-10-28,Online,Bangalore,-185.67,2,4
